,NU_IDADE,NOTA_MEDIA,sexo,raca,natureza,pai,mae,renda
1,18,578.18,1,branca,publica,5,2,K
2,19,567.04,0,branca,publica,2,4,E
3,18,452.42,1,branca,publica,2,2,D
4,17,698,0,branca,publica,5,4,H
5,18,481.3,0,parda,publica,2,2,D
6,24,505.64,0,branca,publica,1,2,C
7,17,553.02,1,parda,publica,2,2,F
8,17,590.96,0,branca,publica,4,4,D
9,19,506.26,1,parda,publica,1,1,A
10,17,595.78,0,preta,publica,2,2,G
11,18,550.3,1,parda,publica,3,4,G
12,17,612.44,0,branca,publica,3,4,G
13,17,525.96,1,parda,publica,3,2,B
14,17,503.18,1,branca,publica,4,2,D
15,18,550.58,0,branca,publica,1,4,I
16,17,504.52,1,branca,publica,5,2,O
17,17,562.32,1,branca,publica,3,4,G
18,17,556.84,1,branca,privada,4,4,D
19,17,516.3,1,branca,publica,3,2,C
20,17,527.64,1,preta,publica,4,3,D
21,17,531.98,0,parda,publica,3,1,B
22,17,636.02,0,branca,privada,5,5,M
23,17,562.24,0,parda,privada,4,4,F
24,17,643.2,1,branca,publica,2,2,E
25,17,661.74,1,branca,publica,3,2,D
26,18,514.02,1,branca,privada,5,4,M
27,17,626.4,1,amarela,publica,4,2,E
28,18,489.62,1,branca,publica,4,4,H
29,17,556.64,1,branca,privada,5,4,N
30,19,510.04,0,branca,publica,3,2,E
31,18,613.1,0,branca,publica,3,4,H
32,17,392.7,1,preta,publica,2,2,A
33,19,481.22,1,branca,publica,4,2,C
34,17,490.98,1,branca,publica,3,2,C
35,18,525.04,1,parda,publica,2,2,E
36,17,549.94,1,branca,publica,3,2,G
37,18,469.42,1,parda,privada,3,3,H
38,19,472.56,1,branca,publica,1,2,C
39,18,639.5,0,branca,privada,3,4,H
40,17,550.32,0,branca,exterior,3,2,K
41,18,483.7,1,branca,publica,2,4,D
42,17,649.9,0,parda,privada,4,4,P
43,17,528.7,1,branca,publica,4,4,E
44,17,619.68,1,branca,publica,2,4,H
45,17,700.6,0,branca,privada,3,3,H
46,18,623.52,1,branca,publica,3,4,D
47,17,597.92,1,branca,publica,3,4,D
48,17,525.2,0,parda,publica,4,2,I
49,17,542.52,0,branca,exterior,5,4,N
50,18,618.62,1,branca,publica,4,2,G
51,17,413.08,1,amarela,publica,3,2,C
52,17,518.08,0,parda,publica,5,4,O
53,17,570.84,1,branca,publica,3,2,E
54,17,523.52,0,branca,publica,3,2,C
55,17,493.6,1,branca,publica,3,2,I
56,18,646.72,1,branca,publica,4,4,E
57,17,481.98,1,branca,publica,3,2,C
58,17,592.52,1,branca,privada,5,5,I
59,17,661.56,1,branca,publica,3,2,G
60,17,637.74,1,branca,privada,4,4,F
61,17,666.54,1,branca,privada,4,5,L
62,18,503.44,1,branca,publica,2,2,E
63,17,508.82,1,branca,publica,3,2,D
64,17,576.9,1,branca,publica,3,4,I
65,26,498.32,0,branca,publica,2,2,G
66,17,537.24,0,preta,privada,3,2,F
67,17,461.92,1,parda,publica,3,3,E
68,18,580.88,1,branca,privada,3,3,I
69,17,583.82,0,branca,publica,3,2,A
70,18,563.26,1,branca,publica,3,2,D
71,17,570.92,0,preta,publica,3,2,C
72,18,488.4,1,branca,publica,3,2,E
73,17,516.74,1,branca,publica,4,2,L
74,17,582.74,1,branca,exterior,4,4,F
75,17,551.42,1,parda,publica,3,3,C
76,17,389.24,1,branca,publica,3,2,E
77,18,596.9,1,parda,publica,3,2,E
78,17,623.68,1,branca,privada,4,4,G
79,18,696.6,1,branca,privada,4,4,M
80,17,533.64,1,branca,publica,4,4,H
81,18,555.46,1,branca,exterior,4,4,B
82,18,503.04,0,branca,publica,4,4,C
83,17,502.06,1,branca,publica,2,2,G
84,17,561.04,1,branca,publica,3,4,N
85,17,635.56,1,branca,publica,4,3,C
86,18,600.86,0,branca,publica,3,2,C
87,17,426.76,0,parda,publica,2,4,G
88,17,539.94,0,parda,privada,3,4,M
89,17,532.76,0,branca,publica,3,2,E
90,17,529.08,1,branca,publica,4,2,C
91,17,461.2,0,parda,publica,3,2,C
92,17,773,1,branca,privada,4,2,G
93,18,629.88,1,branca,privada,5,5,H
94,18,464.64,1,parda,publica,2,3,G
95,18,479.6,1,preta,publica,1,2,D
96,19,475.16,0,branca,publica,4,3,F
97,17,643.42,0,branca,privada,4,4,K
98,18,516.38,1,branca,publica,4,2,F
99,18,514.24,1,amarela,publica,4,5,G
100,18,595.66,1,branca,privada,5,2,H
101,18,701.14,1,branca,privada,5,5,J
102,17,612.96,1,parda,exterior,3,4,N
103,17,490.68,1,branca,publica,4,3,D
104,18,517.06,1,branca,publica,3,2,E
105,17,529.68,0,preta,privada,5,4,H
106,18,518.7,0,branca,publica,3,3,C
107,18,562.96,0,branca,privada,5,3,O
108,18,541.82,1,branca,publica,2,2,D
109,17,556.46,0,branca,publica,4,2,G
110,58,473.88,0,parda,publica,1,1,G
111,17,604.34,1,branca,publica,3,2,C
112,18,569.12,1,branca,publica,4,4,I
113,18,580.22,1,parda,publica,2,4,H
114,18,637.26,1,branca,privada,5,2,D
115,18,562.46,0,parda,publica,4,4,F
116,17,567.58,1,branca,publica,3,3,G
117,17,504.1,0,branca,publica,4,2,H
118,17,593.22,1,parda,publica,4,4,G
119,17,616.9,1,branca,publica,2,4,C
120,17,592.98,0,branca,publica,4,4,J
121,17,477.78,1,branca,publica,5,2,E
122,17,614.14,1,branca,exterior,3,3,G
123,17,409,1,parda,publica,2,2,D
124,17,524.9,1,branca,publica,2,2,D
125,17,650.9,0,branca,publica,2,3,G
126,18,497.52,1,amarela,publica,3,2,G
127,19,479.2,0,branca,publica,2,2,G
128,18,396.82,1,branca,publica,2,2,F
129,18,663.66,0,branca,privada,3,2,D
130,18,631.16,1,branca,publica,5,4,F
131,17,635.5,0,branca,privada,5,4,G
132,17,461.08,1,branca,privada,4,4,H
133,17,510.6,1,branca,publica,3,2,G
134,17,525.14,1,branca,publica,2,4,G
135,18,555.96,0,branca,publica,5,3,D
136,18,489.84,1,amarela,publica,2,2,F
137,17,595.12,1,amarela,publica,4,4,J
138,16,441.06,1,branca,publica,3,2,C
139,17,577.22,1,parda,publica,3,2,E
140,17,519.3,1,parda,publica,4,2,J
141,17,631.28,1,branca,publica,4,3,E
142,17,650,1,branca,privada,5,4,N
143,17,500.3,1,branca,privada,3,2,E
144,18,672.8,0,branca,privada,3,3,C
145,17,595.06,1,branca,privada,3,3,E
146,17,613.98,1,branca,exterior,4,4,N
147,18,587.34,0,parda,exterior,4,2,E
148,17,625.88,0,branca,publica,5,4,J
149,17,564.94,0,branca,privada,3,3,J
150,17,604.72,0,branca,exterior,4,2,J
151,17,538.66,0,branca,publica,2,2,E
152,17,564.68,0,branca,publica,4,4,C
153,18,580.44,1,branca,publica,4,4,D
154,17,613.9,1,branca,privada,4,4,K
155,23,530.62,1,branca,publica,1,3,G
156,18,618.32,0,parda,publica,3,2,G
157,17,680.14,1,parda,publica,4,4,K
158,17,579.46,1,branca,publica,4,4,C
159,17,476.92,0,branca,publica,3,2,G
160,17,509.48,1,branca,privada,4,4,H
161,18,499.3,1,parda,publica,3,2,E
162,17,650.5,1,branca,privada,5,2,E
